all: 1, yy: 1, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 1, yy: 1, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 2, yy: 2, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 1, yy: 0, yn1: 0, yn2: 0, ny: 1, nn: 0
all: 3, yy: 1, yn1: 1, yn2: 0, ny: 1, nn: 0
all: 1, yy: 1, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 1, yy: 1, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 2, yy: 1, yn1: 0, yn2: 1, ny: 0, nn: 0
all: 1, yy: 1, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 1, yy: 0, yn1: 0, yn2: 0, ny: 1, nn: 0
all: 2, yy: 1, yn1: 0, yn2: 0, ny: 1, nn: 0
all: 1, yy: 0, yn1: 0, yn2: 0, ny: 0, nn: 1
all: 2, yy: 1, yn1: 1, yn2: 0, ny: 0, nn: 0
all: 2, yy: 1, yn1: 1, yn2: 0, ny: 0, nn: 0
all: 3, yy: 1, yn1: 1, yn2: 0, ny: 0, nn: 1
all: 1, yy: 1, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 1, yy: 0, yn1: 0, yn2: 0, ny: 0, nn: 1
all: 1, yy: 0, yn1: 0, yn2: 0, ny: 0, nn: 1
all: 2, yy: 2, yn1: 0, yn2: 0, ny: 0, nn: 0
all: 5, yy: 3, yn1: 0, yn2: 2, ny: 0, nn: 0
all: 1, yy: 1, yn1: 0, yn2: 0, ny: 0, nn: 0
